2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '孙老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '陈老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': ' 金老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '曹老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '谭老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '王老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '杨老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '丛老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '李老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '邓老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '杨老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '曾老师', 'title': '高级讲师', 'hello': 'world'}
2020-05-26 10:42:55 [testSpider.spiders.itcatst] WARNING: {'name': '赵老师', 'title': '高级讲师', 'hello': 'world'}
