index_code,index_name
000001,上证指数
000002,Ａ股指数
000003,Ｂ股指数
000004,工业指数
000005,商业指数
000006,地产指数
000007,公用指数
000008,综合指数
000009,上证380
000010,上证180
000011,基金指数
000012,国债指数
000013,企债指数
000015,红利指数
000016,上证50
000017,新综指
000018,180金融
000019,治理指数
000020,中型综指
000021,180治理
000022,沪公司债
000025,180基建
000026,180资源
000027,180运输
000028,180成长
000029,180价值
000030,180R成长
000031,180R价值
000032,上证能源
000033,上证材料
000034,上证工业
000035,上证可选
000036,上证消费
000037,上证医药
000038,上证金融
000039,上证信息
000040,上证电信
000041,上证公用
000042,上证央企
000043,超大盘
000044,上证中盘
000045,上证小盘
000046,上证中小
000047,上证全指
000048,责任指数
000049,上证民企
000050,50等权
000051,180等权
000052,50基本
000053,180基本
000054,上证海外
000055,上证地企
000056,上证国企
000057,全指成长
000058,全指价值
000059,全R成长
000060,全R价值
000061,沪企债30
000062,上证沪企
000063,上证周期
000064,非周期
000065,上证龙头
000066,上证商品
000067,上证新兴
000068,上证资源
000069,消费80
000070,能源等权
000071,材料等权
000072,工业等权
000073,可选等权
000074,消费等权
000075,医药等权
000076,金融等权
000077,信息等权
000078,电信等权
000079,公用等权
000090,上证流通
000091,沪财中小
000092,资源50
000093,180分层
000094,上证上游
000095,上证中游
000096,上证下游
000097,高端装备
000098,上证F200
000099,上证F300
000100,上证F500
000101,5年信用
000102,沪投资品
000103,沪消费品
000104,380能源
000105,380材料
000106,380工业
000107,380可选
000108,380消费
000109,380医药
000110,380金融
000111,380信息
000112,380电信
000113,380公用
000114,持续产业
000115,380等权
000116,信用100
000117,380成长
000118,380价值
000119,380R成长
000120,380R价值
000121,医药主题
000122,农业主题
000123,180动态
000125,180稳定
000126,消费50
000128,380基本
000129,180波动
000130,380波动
000131,上证高新
000132,上证100
000133,上证150
000134,上证银行
000135,180高贝
000136,180低贝
000137,380高贝
000138,380低贝
000139,上证转债
000141,380动态
000142,380稳定
000145,优势资源
000146,优势制造
000147,优势消费
000148,消费领先
000149,180红利
000150,380红利
000151,上国红利
000152,上央红利
000153,上民红利
000155,市值百强
000158,上证环保
000159,沪股通
000160,沪新丝路
000161,沪中国造
000162,沪互联+
000170,50AH优选
000171,新兴成指
000300,沪深300
000802,500沪市
000805,A股资源
000806,消费服务
000807,食品饮料
000808,医药生物
000814,细分医药
000816,细分地产
000819,有色金属
000821,300红利
000823,800有色
000827,中证环保
000828,300高贝
000832,中证转债
000833,中高企债
000841,800医药
000842,800等权
000846,ESG 100
000847,腾讯济安
000849,300非银
000850,300有色
000851,百发100
000852,中证1000
000853,CSSW丝路
000854,500原料
000855,央视500
000856,500工业
000857,500医药
000858,500信息
000863,CS精准医
000865,上海国企
000867,港中小企
000869,HK银行
000891,新兴综指
000901,小康指数
000903,中证100
000904,中证200
000905,中证500
000906,中证800
000908,300能源
000909,300材料
000910,300工业
000911,300可选
000912,300消费
000913,300医药
000914,300金融
000917,300公用
000918,300成长
000919,300价值
000922,中证红利
000925,基本面50
000928,中证能源
000931,中证可选
000932,中证消费
000933,中证医药
000934,中证金融
000935,中证信息
000939,民企200
000940,财富大盘
000944,内地资源
000950,300基建
000951,300银行
000952,300地产
000957,300运输
000958,创业成长
000959,银河99
000961,中证上游
000963,中证下游
000964,中证新兴
000966,基本400
000969,300非周
000971,等权90
000974,800金融
000975,钱江30
000977,内地低碳
000978,医药100
000979,大宗商品
000982,500等权
000983,智能资产
000984,300等权
000986,全指能源
000987,全指材料
000989,全指可选
000990,全指消费
000991,全指医药
000992,全指金融
000993,全指信息
000998,中证TMT
399001,深证成指
399002,深成指R
399003,成份Ｂ指
399004,深证100R
399005,中小板指
399006,创业板指
399007,深证300
399008,中小300
399009,深证200
399010,深证700
399011,深证1000
399012,创业300
399013,深市精选
399015,中小创新
399016,深证创新
399017,SME创新
399018,创业创新
399050,创新引擎
399100,新 指 数
399101,中小板综
399102,创业板综
399103,乐富指数
399106,深证综指
399107,深证Ａ指
399108,深证Ｂ指
399231,农林指数
399232,采矿指数
399233,制造指数
399234,水电指数
399235,建筑指数
399236,批零指数
399237,运输指数
399238,餐饮指数
399239,IT指数
399240,金融指数
399241,地产指数
399242,商务指数
399243,科研指数
399244,公共指数
399248,文化指数
399249,综企指数
399297,新浪100
399298,深信中高
399299,深信中低
399300,沪深300
399301,深信用债
399302,深公司债
399303,国证2000
399306,深证ETF
399307,深证转债
399310,国证50
399311,国证1000
399312,国证300
399313,巨潮100
399314,巨潮大盘
399315,巨潮中盘
399316,巨潮小盘
399317,国证Ａ指
399318,国证Ｂ指
399319,资源优势
399320,国证服务
399321,国证红利
399322,国证治理
399324,深证红利
399326,成长40
399328,深证治理
399330,深证100
399333,中小板R
399335,深证央企
399337,深证民营
399339,深证科技
399341,深证责任
399344,深证300R
399346,深证成长
399348,深证价值
399350,皖江30
399351,深报指数
399352,深报综指
399353,国证物流
399354,分析师指
399355,长三角
399356,珠三角
399357,环渤海
399358,泰达指数
399359,国证基建
399360,新硬件
399361,国证商业
399362,国证民营
399363,计算机指
399364,中金消费
399365,国证农业
399366,国证大宗
399367,巨潮地产
399368,国证军工
399369,CBN-兴全
399370,国证成长
399371,国证价值
399372,大盘成长
399373,大盘价值
399374,中盘成长
399375,中盘价值
399376,小盘成长
399377,小盘价值
399378,南方低碳
399379,国证基金
399380,国证ETF
399381,1000能源
399382,1000材料
399383,1000工业
399384,1000可选
399385,1000消费
