股票代码,股票简称,股票链接,现价,涨幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
605001,N威奥,http://stockpage.10jqka.com.cn/605001/,23.24,43.99,7.10,0.00,0.53,--,23.98,924.78万,7556.00万,17.56亿,168.81
688233,神工股份,http://stockpage.10jqka.com.cn/688233/,58.03,11.60,6.03,0.23,21.07,1.30,12.67,4.22亿,3656.67万,21.22亿,1091.59
000612,焦作万方,http://stockpage.10jqka.com.cn/000612/,4.35,10.13,0.40,0.00,1.79,1.45,13.92,8778.97万,11.91亿,51.81亿,15.43
300270,中威电子,http://stockpage.10jqka.com.cn/300270/,7.10,10.08,0.65,0.00,5.23,2.75,9.61,7179.91万,1.98亿,14.06亿,亏损
002369,卓翼科技,http://stockpage.10jqka.com.cn/002369/,8.97,10.06,0.82,0.00,11.11,4.74,4.66,5.71亿,5.76亿,51.66亿,亏损
600540,新赛股份,http://stockpage.10jqka.com.cn/600540/,5.58,10.06,0.51,0.00,14.95,1.11,9.86,3.86亿,4.71亿,26.28亿,364.16
603329,上海雅仕,http://stockpage.10jqka.com.cn/603329/,12.71,10.04,1.16,0.00,10.95,2.17,10.22,8655.05万,6468.00万,8.22亿,44.87
002779,中坚科技,http://stockpage.10jqka.com.cn/002779/,15.13,10.04,1.38,0.00,3.86,14.84,13.31,6725.97万,1.18亿,17.92亿,亏损
300831,派瑞股份,http://stockpage.10jqka.com.cn/300831/,16.34,10.03,1.49,0.00,0.95,3.06,--,1243.79万,8000.00万,13.07亿,亏损
002297,博云新材,http://stockpage.10jqka.com.cn/002297/,6.91,10.03,0.63,0.00,11.54,1.72,16.08,3.48亿,4.70亿,32.47亿,亏损
300309,吉艾科技,http://stockpage.10jqka.com.cn/300309/,3.95,10.03,0.36,0.00,7.61,7.16,3.90,2.30亿,7.67亿,30.29亿,亏损
603385,惠达卫浴,http://stockpage.10jqka.com.cn/603385/,14.27,10.02,1.30,0.00,6.84,3.89,6.48,3.57亿,3.69亿,52.71亿,45.81
000551,创元科技,http://stockpage.10jqka.com.cn/000551/,9.99,10.02,0.91,0.00,20.04,10.85,4.85,7.98亿,4.00亿,39.97亿,69.96
002864,盘龙药业,http://stockpage.10jqka.com.cn/002864/,28.67,10.02,2.61,0.00,13.86,6.00,10.44,1.75亿,4493.23万,12.88亿,63.14
002988,豪美新材,http://stockpage.10jqka.com.cn/002988/,23.07,10.01,2.10,0.00,1.00,4.51,--,1349.30万,5821.41万,13.43亿,84.19
603221,爱丽家居,http://stockpage.10jqka.com.cn/603221/,18.24,10.01,1.66,0.00,41.08,1.85,13.51,4.25亿,6000.00万,10.94亿,54.54
002896,中大力德,http://stockpage.10jqka.com.cn/002896/,22.42,10.01,2.04,0.00,7.78,3.64,11.63,5761.43万,3425.00万,7.68亿,42.73
002338,奥普光电,http://stockpage.10jqka.com.cn/002338/,17.70,10.01,1.61,0.00,6.71,1.89,11.00,2.70亿,2.40亿,42.48亿,93.85
300832,新产业,http://stockpage.10jqka.com.cn/300832/,96.90,10.00,8.81,0.00,1.37,5.85,--,5458.35万,4120.00万,39.92亿,90.03
600859,王府井,http://stockpage.10jqka.com.cn/600859/,19.47,10.00,1.77,0.00,5.54,1.42,8.30,6.02亿,5.69亿,110.74亿,亏损
